sell_price,bedrooms_num,bathrooms_num,house_area,park_area,floors,score,structure_area,basement_area,bulid_year,fix_year,latitude,longitude,sell_year,sell_month,sell_day,house_old,fix_old
545000,3,2.25,1670,6240,1.0,8,1240,430,1974,0,47.6413,-122.113,2015,3,2,41,0
785000,4,2.5,3300,10514,2.0,10,3300,0,1984,0,47.6323,-122.036,2015,2,11,31,0
765000,3,3.25,3190,5283,2.0,9,3190,0,2007,0,47.5534,-122.00200000000001,2015,1,7,8,0
720000,5,2.5,2900,9525,2.0,9,2900,0,1989,0,47.5442,-122.13799999999999,2014,11,3,25,0
449500,5,2.75,2040,7488,1.0,7,1200,840,1969,0,47.7289,-122.17200000000001,2014,6,3,45,0
248500,2,1.0,780,10064,1.0,7,780,0,1958,0,47.4913,-122.318,2015,5,6,57,0
675000,4,2.5,1770,9858,1.0,8,1770,0,1971,0,47.7382,-122.287,2015,3,5,44,0
730000,2,2.25,2130,4920,1.5,7,1530,600,1941,0,47.573,-122.40899999999999,2014,7,1,73,0
311000,2,1.0,860,3300,1.0,6,860,0,1903,0,47.5496,-122.279,2014,8,7,111,0
660000,2,1.0,960,6263,1.0,6,960,0,1942,0,47.6646,-122.20200000000001,2014,12,4,72,0
435000,2,1.0,990,5643,1.0,7,870,120,1947,0,47.6802,-122.29799999999999,2015,2,27,68,0
350000,3,1.0,1240,10800,1.0,7,1240,0,1959,0,47.5233,-122.185,2014,9,4,55,0
385000,3,2.25,1630,1598,3.0,8,1630,0,2008,0,47.6904,-122.34700000000001,2014,9,2,6,0
235000,2,1.0,930,10505,1.0,6,930,0,1930,0,47.4337,-122.329,2015,4,13,85,0
350000,3,1.0,1300,10236,1.0,6,1300,0,1971,0,47.5028,-121.77,2014,9,30,43,0
1350000,4,1.75,2000,3728,1.5,9,1820,180,1926,0,47.643,-122.29899999999999,2015,5,7,89,0
459900,3,1.75,2580,11000,1.0,7,1290,1290,1951,0,47.5646,-122.181,2014,5,30,63,0
430000,6,3.0,2630,8800,1.0,7,1610,1020,1959,0,47.7166,-122.29299999999999,2014,7,23,55,0
718000,5,2.75,2930,7663,2.0,9,2930,0,2013,0,47.5308,-122.184,2014,10,3,1,0
220000,4,1.0,1440,8250,1.0,7,1440,0,1959,0,47.4325,-122.291,2014,12,15,55,0
1500000,4,3.25,3470,5222,2.0,10,2830,640,2005,0,47.6845,-122.209,2015,4,21,10,0
140000,3,1.5,1200,2002,2.0,8,1200,0,1966,0,47.4659,-122.189,2014,11,26,48,0
200000,4,2.5,1720,8638,2.0,8,1720,0,1994,0,47.2704,-122.31299999999999,2015,1,15,21,0
475000,4,1.75,1650,7775,1.0,7,1150,500,1950,0,47.715,-122.354,2014,5,20,64,0
179000,3,1.0,920,5200,1.0,6,920,0,1969,0,47.3603,-122.085,2014,8,13,45,0
400000,3,2.5,1460,1319,3.0,8,1460,0,2002,0,47.698,-122.34899999999999,2015,2,27,13,0
348125,3,1.0,1400,8451,1.5,7,1400,0,1953,0,47.7719,-122.337,2015,2,17,62,0
675000,5,2.25,2900,10300,1.0,8,1450,1450,1985,0,47.5461,-122.15100000000001,2014,7,2,29,0
1000000,4,2.5,2610,3277,1.5,8,1920,690,1922,0,47.6636,-122.33,2014,7,22,92,0
447500,3,2.5,2320,15024,2.0,8,2320,0,1990,0,47.4829,-121.766,2014,7,22,24,0
345000,4,2.5,2040,5875,2.0,8,2040,0,2004,0,47.5051,-122.17,2014,10,17,10,0
275000,3,2.5,3020,5868,2.0,7,3020,0,2003,0,47.3361,-122.175,2014,8,1,11,0
529941,3,2.0,1660,10000,1.0,7,1010,650,1961,0,47.5852,-122.17399999999999,2015,2,23,54,0
685900,3,2.5,2290,9142,1.0,8,2290,0,1972,0,47.691,-122.387,2014,8,7,42,0
310000,1,1.0,920,8282,1.5,6,920,0,1944,1980,47.761,-122.214,2014,12,16,70,34
299000,2,1.75,1270,7800,1.0,7,890,380,1981,0,47.4438,-122.134,2015,4,8,34,0
630000,5,2.0,1900,5000,1.0,8,1720,180,1957,0,47.6735,-122.36200000000001,2014,7,15,57,0
883000,4,2.5,2800,6874,2.0,9,2170,630,1990,0,47.6215,-122.29,2015,3,3,25,0
510000,4,2.25,2450,62290,2.0,8,2450,0,1976,0,47.7603,-122.074,2014,6,8,38,0
448500,3,2.25,1830,7943,2.0,8,1830,0,1985,0,47.7466,-122.249,2015,3,20,30,0
330000,2,1.0,880,1753,2.0,7,880,0,1945,0,47.6475,-122.397,2014,10,8,69,0
358000,3,2.5,1400,1529,2.0,7,1400,0,2005,0,47.5535,-121.99700000000001,2014,9,19,9,0
690000,5,3.5,2690,4800,2.0,8,1930,760,1919,1984,47.5592,-122.26899999999999,2015,2,26,96,31
1518630,4,4.25,3650,5328,1.5,9,2330,1320,1907,2014,47.638000000000005,-122.36200000000001,2014,7,14,107,0
627000,3,2.0,2310,10525,2.0,7,2310,0,1965,0,47.6727,-122.17399999999999,2014,11,17,49,0
451000,4,1.75,1680,7800,1.0,7,1330,350,1966,0,47.6286,-122.118,2014,12,12,48,0
453250,4,2.5,2260,6300,2.0,7,2260,0,2001,0,47.7235,-121.958,2015,5,5,14,0
389000,2,1.0,850,3276,1.0,6,850,0,1910,0,47.6742,-122.35,2014,10,13,104,0
360000,2,1.75,1230,1107,2.0,8,1230,0,2006,0,47.5475,-121.999,2014,9,26,8,0
925000,5,3.5,4050,13495,1.0,9,2230,1820,1988,0,47.4384,-122.352,2014,8,19,26,0
524225,4,2.5,3056,11385,2.0,9,3056,0,2014,0,47.2905,-122.264,2015,1,20,1,0
319000,4,2.25,2380,7400,1.0,8,1760,620,1979,0,47.3555,-122.149,2014,11,21,35,0
500000,4,1.0,1440,7100,1.5,7,1440,0,1906,0,47.6725,-122.396,2014,6,27,108,0
750000,5,2.5,3240,9960,1.0,8,2020,1220,1958,0,47.5858,-122.11200000000001,2015,3,3,57,0
415000,4,2.5,2230,5743,2.0,7,2230,0,2002,0,47.7245,-121.95700000000001,2014,8,11,12,0
1445000,4,2.5,3200,3600,3.0,9,2600,600,1997,0,47.632,-122.369,2014,8,7,17,0
270000,3,1.5,1610,8375,2.0,7,1610,0,1927,0,47.7527,-122.306,2014,9,2,87,0
350000,3,1.75,1250,13775,1.0,7,1250,0,1990,0,47.4981,-121.772,2014,7,17,24,0
659500,4,3.0,2620,18362,1.0,8,1870,750,1956,0,47.5646,-122.184,2014,6,19,58,0
245000,3,2.0,1850,8208,1.0,7,1180,670,1970,0,47.3109,-122.36200000000001,2014,8,5,44,0
290000,3,2.0,1310,6265,1.0,7,1310,0,1988,0,47.3893,-122.051,2015,3,19,27,0
430000,4,2.25,2020,4840,1.5,8,1200,820,1925,0,47.5576,-122.376,2014,12,11,89,0
637000,3,2.0,1980,6000,1.0,7,1380,600,1958,0,47.6921,-122.28299999999999,2014,8,7,56,0
